sample_id,site_id,site_name,sample_date
155912,28343,XS-LS-6016,2015-06-10
155913,28370,XS-SS-6105,2015-06-18
155914,10679,MP-SS-2079,2015-06-18
155915,10685,MP-SS-2088,2015-06-21
155916,10689,MP-SS-2095,2015-06-20
155917,10676,MP-SS-2074,2015-07-05
155918,10677,MP-SS-2075,2015-07-04
155919,10683,MP-SS-2086,2015-07-07
155920,10691,MP-SS-2098,2015-07-02
155921,10684,MP-SS-2087,2015-09-01
155922,10678,MP-SS-2078,2015-09-13
155923,10695,MP-SS-2103,2015-09-10
155924,10703,MP-SS-2114,2015-09-14
155971,747,2015ORGRY1003,2015-06-17
155973,748,2015ORGRY1009,2015-06-19
155977,749,2015ORHOT1001,2015-08-02
156527,1947,4995915,2015-08-06
156528,1903,4994430,2015-06-26
156529,1973,4996855,2015-09-08
156530,2063,5919980,2015-07-28
156581,1607,4939133,2015-08-17
156585,1947,4995915,2015-08-06
156586,2063,5919980,2015-07-28
156587,1973,4996855,2015-09-08
156588,1903,4994430,2015-06-26
157038,13446,ORWLF:1008,2015-07-16
157039,13120,ORSFA-1011,2015-07-13
157040,2170,762,2015-08-12
157041,13450,ORWLF:1014,2015-07-14
157042,13119,ORSFA-1009,2015-08-04
157043,13458,ORWLF:1031,2015-07-23
157044,12804,ORFLO-1010,2015-07-28
157045,907,2890,2015-07-27
157046,13451,ORWLF:1015,2015-07-13
157047,12804,ORFLO-1010,2015-07-29
157048,535,1530,2015-07-30
157049,539,1604,2015-07-28
157050,534,1528,2015-07-29
157051,714,2013ORWLD1001,2015-08-05
157052,716,2013ORWLD1016,2015-08-06
157074,5213,CO-SS-9425,2014-07-04
157075,5087,CO-LS-9417,2014-07-19
157076,5210,CO-SS-9413,2014-07-22
157077,5180,CO-RO-9402,2014-07-21
157078,5092,CO-LS-9429,2014-08-01
157079,5084,CO-LS-9400,2014-08-05
157080,5186,CO-RO-9416,2014-08-09
157081,5091,CO-LS-9427,2014-08-11
157082,5212,CO-SS-9419,2014-08-16
157083,5090,CO-LS-9424,2014-09-26
157084,5179,CO-RO-9401,2014-09-24
157085,5095,CO-LS-9445,2014-08-07
157086,5093,CO-LS-9432,2015-06-26
157087,5097,CO-LS-9452,2015-06-27
157088,5184,CO-RO-9411,2015-06-21
157089,5088,CO-LS-9421,2015-07-06
157090,5094,CO-LS-9442,2015-07-08
157091,5096,CO-LS-9448,2015-07-08
157092,5211,CO-SS-9415,2015-06-29
157093,5217,CO-SS-9440,2015-07-07
157094,5089,CO-LS-9423,2015-07-23
157095,5182,CO-RO-9406,2015-07-18
157096,5188,CO-RO-9422,2015-07-21
157097,5209,CO-SS-9403,2015-07-22
157098,5216,CO-SS-9439,2015-07-25
157099,5183,CO-RO-9409,2015-08-02
157100,5187,CO-RO-9420,2015-08-11
157101,5190,CO-RO-9433,2015-08-04
157102,5191,CO-RO-9435,2015-08-03
157103,5193,CO-RO-9437,2015-08-07
157104,5185,CO-RO-9412,2015-08-15
157105,5212,CO-SS-9419,2015-08-21
157106,5215,CO-SS-9430,2015-08-24
157107,5218,CO-SS-9441,2015-08-23
157108,5085,CO-LS-9407,2015-08-28
157109,5086,CO-LS-9410,2015-09-12
157110,5181,CO-RO-9405,2015-08-30
157111,5189,CO-RO-9431,2015-08-30
157112,5214,CO-SS-9426,2015-08-31
157113,5192,CO-RO-9436,2015-10-12
157114,5213,CO-SS-9425,2014-07-04
157115,5087,CO-LS-9417,2014-07-19
157116,8487,GS-SS-9024,2014-09-18
157117,8481,GS-SS-9004,2014-09-19
157118,8485,GS-SS-9020,2014-09-20
157119,8466,GS-LS-9009,2015-06-14
157120,8469,GS-LS-9025,2015-06-15
157121,8467,GS-LS-9010,2015-06-27
157122,8470,GS-LS-9026,2015-06-28
157123,8471,GS-LS-9027,2015-06-25
157124,8474,GS-RO-9001,2015-06-22
157125,8476,GS-RO-9007,2015-06-27
157126,8477,GS-RO-9008,2015-06-25
157127,8480,GS-RO-9017,2015-06-21
157128,8483,GS-SS-9006,2015-06-23
157129,8484,GS-SS-9012,2015-06-24
157130,8478,GS-RO-9013,2015-07-02
157131,8479,GS-RO-9014,2015-08-17
157132,8482,GS-SS-9005,2015-07-01
157133,8468,GS-LS-9016,2015-08-18
157134,8472,GS-LS-9032,2015-08-19
157135,8473,GS-LS-9036,2015-09-10
157136,8486,GS-SS-9022,2015-09-07
157137,8475,GS-RO-9003,2015-09-24
157138,8476,GS-RO-9007,2015-09-30
157139,8487,GS-SS-9024,2014-09-18
157159,1908,4995000,2016-09-27
157172,3917,C4_05_1,2016-08-15
157173,3917,C4_05_1,2016-08-15
157174,18286,SANDY-01,2016-07-28
